numero_expediente,fecha,nombre,link
CFP 9608/2018,2021-09-01,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=10089156&tipo=corrupcion-administrativa
CFP 9608/2018,2021-08-24,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=10065079&tipo=corrupcion-administrativa
CFP 9608/2018,2021-08-17,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=10046075&tipo=corrupcion-administrativa
CFP 9608/2018,2021-05-11,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9845480&tipo=corrupcion-administrativa
CFP 9608/2018,2021-05-05,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9832481&tipo=corrupcion-administrativa
CFP 9608/2018,2020-09-03,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9366723&tipo=corrupcion-administrativa
CFP 9608/2018,2020-07-27,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9272787&tipo=corrupcion-administrativa
CFP 9608/2018,2020-07-27,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9272827&tipo=corrupcion-administrativa
CFP 9608/2018,2020-07-27,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9272711&tipo=corrupcion-administrativa
CFP 9608/2018,2020-07-27,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9272897&tipo=corrupcion-administrativa
CFP 9608/2018,2020-07-27,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9271828&tipo=corrupcion-administrativa
CFP 9608/2018,2020-07-02,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9222079&tipo=corrupcion-administrativa
CFP 9608/2018,2020-02-12,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9034208&tipo=corrupcion-administrativa
CFP 9608/2018,2020-02-06,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9009658&tipo=corrupcion-administrativa
CFP 9608/2018,2020-01-13,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8976375&tipo=corrupcion-administrativa
CFP 9608/2018,2019-12-27,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8964285&tipo=corrupcion-administrativa
CFP 9608/2018,2019-12-27,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8964180&tipo=corrupcion-administrativa
CFP 9608/2018,2019-12-27,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8964235&tipo=corrupcion-administrativa
CFP 9608/2018,2019-12-27,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8964163&tipo=corrupcion-administrativa
CFP 9608/2018,2019-12-27,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8964459&tipo=corrupcion-administrativa
CFP 9608/2018,2019-12-20,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=8945840&tipo=corrupcion-administrativa
CFP 9608/2018,2019-12-13,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=8914851&tipo=corrupcion-administrativa
CFP 9608/2018,2019-12-13,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=8914702&tipo=corrupcion-administrativa
CFP 9608/2018,2019-12-13,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8914788&tipo=corrupcion-administrativa
CFP 9608/2018,2019-12-06,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8888351&tipo=corrupcion-administrativa
CFP 9608/2018,2019-11-25,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8836901&tipo=corrupcion-administrativa
CFP 9608/2018,2019-11-25,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8835828&tipo=corrupcion-administrativa
CFP 9608/2018,2019-11-25,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8836013&tipo=corrupcion-administrativa
CFP 9608/2018,2019-11-25,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8836168&tipo=corrupcion-administrativa
CFP 9608/2018,2019-11-25,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8836317&tipo=corrupcion-administrativa
CFP 9608/2018,2019-11-25,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8835602&tipo=corrupcion-administrativa
CFP 9608/2018,2019-11-25,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8836592&tipo=corrupcion-administrativa
CFP 9608/2018,2019-11-25,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8835748&tipo=corrupcion-administrativa
